PENG
LATEST_ANNOUNCEMENT_DT
5/7/1996
8/13/1996
11/11/1996
3/17/1997
5/13/1997
8/13/1997
11/13/1997
3/19/1998
5/13/1998
8/14/1998
11/13/1998
3/17/1999
5/17/1999
8/12/1999
11/15/1999
3/20/2000
5/15/2000
8/9/2000
11/9/2000
3/14/2001
5/10/2001
8/14/2001
11/14/2001
3/21/2002
5/9/2002
8/7/2002
11/12/2002
3/19/2003
5/9/2003
7/31/2003
11/6/2003
3/11/2004
5/6/2004
