CLF
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/18/1996
10/22/1996
1/21/1997
4/17/1997
7/22/1997
10/23/1997
1/23/1998
4/20/1998
7/22/1998
10/21/1998
1/21/1999
4/21/1999
7/21/1999
10/20/1999
1/20/2000
4/19/2000
7/26/2000
10/25/2000
1/31/2001
4/25/2001
7/25/2001
10/24/2001
1/30/2002
4/24/2002
7/24/2002
10/23/2002
1/29/2003
4/23/2003
7/30/2003
10/29/2003
2/4/2004
4/28/2004
7/28/2004
10/27/2004
2/16/2005
4/27/2005
7/27/2005
10/26/2005
2/16/2006
4/26/2006
7/26/2006
10/25/2006
2/21/2007
6/8/2007
7/26/2007
11/1/2007
2/22/2008
5/5/2008
7/30/2008
10/29/2008
2/25/2009
4/29/2009
7/29/2009
10/29/2009
2/17/2010
4/28/2010
7/28/2010
10/28/2010
2/16/2011
4/28/2011
7/27/2011
10/27/2011
2/15/2012
4/25/2012
7/25/2012
10/24/2012
2/12/2013
4/24/2013
7/25/2013
10/24/2013
2/13/2014
4/24/2014
7/23/2014
10/27/2014
2/2/2015
4/28/2015
7/29/2015
10/29/2015
1/27/2016
