ITG
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/16/1996
10/15/1996
1/21/1997
4/14/1997
7/15/1997
10/14/1997
1/21/1998
4/14/1998
7/14/1998
10/13/1998
1/20/1999
4/13/1999
7/14/1999
10/13/1999
1/20/2000
4/18/2000
7/19/2000
10/17/2000
1/18/2001
4/18/2001
7/18/2001
10/16/2001
1/17/2002
4/17/2002
7/17/2002
10/17/2002
1/23/2003
4/16/2003
7/17/2003
10/16/2003
1/27/2004
4/29/2004
7/29/2004
10/28/2004
1/27/2005
4/28/2005
7/28/2005
10/27/2005
2/1/2006
5/4/2006
8/3/2006
11/2/2006
2/1/2007
5/3/2007
8/2/2007
11/1/2007
1/31/2008
5/1/2008
7/31/2008
10/30/2008
3/2/2009
4/30/2009
7/30/2009
10/29/2009
2/3/2010
4/29/2010
7/29/2010
10/28/2010
2/3/2011
5/5/2011
8/4/2011
11/3/2011
2/1/2012
5/3/2012
8/9/2012
11/1/2012
1/31/2013
5/2/2013
8/1/2013
10/31/2013
1/30/2014
5/1/2014
7/31/2014
11/3/2014
1/29/2015
4/30/2015
8/3/2015
11/5/2015
2/4/2016
05/05/2016
7/28/2016
11/09/2016
02/01/2017
05/04/2017
