SINT
LATEST_ANNOUNCEMENT_DT
5/10/2002
10/10/2002
11/8/2002
2/12/2003
4/29/2003
7/29/2003
10/28/2003
2/17/2004
4/27/2004
7/26/2004
10/25/2004
2/14/2005
4/25/2005
7/25/2005
10/24/2005
2/21/2006
5/2/2006
8/1/2006
10/31/2006
2/20/2007
5/1/2007
7/31/2007
10/30/2007
2/19/2008
4/29/2008
7/29/2008
11/5/2008
