TTEC
LATEST_ANNOUNCEMENT_DT
10/10/1996
2/5/1997
4/17/1997
7/17/1997
10/22/1997
2/9/1998
4/23/1998
7/23/1998
10/22/1998
2/11/1999
4/21/1999
7/22/1999
10/21/1999
2/15/2000
4/19/2000
7/20/2000
10/23/2000
2/8/2001
4/26/2001
8/2/2001
10/30/2001
2/13/2002
4/25/2002
7/25/2002
10/31/2002
2/11/2003
4/29/2003
8/14/2003
11/5/2003
3/8/2004
5/5/2004
8/4/2004
10/20/2004
3/8/2005
5/4/2005
8/3/2005
11/2/2005
2/21/2006
5/3/2006
8/1/2006
10/25/2006
2/7/2007
5/9/2007
8/6/2007
10/25/2007
7/16/2008
7/16/2008
8/4/2008
11/4/2008
2/23/2009
5/11/2009
7/29/2009
10/28/2009
2/22/2010
5/5/2010
8/4/2010
11/3/2010
3/1/2011
5/3/2011
8/2/2011
11/2/2011
2/28/2012
5/1/2012
8/1/2012
11/7/2012
2/26/2013
5/1/2013
7/30/2013
10/30/2013
2/24/2014
5/5/2014
8/11/2014
11/5/2014
2/25/2015
5/11/2015
8/5/2015
11/9/2015
3/14/2016
05/09/2016
08/03/2016
11/09/2016
03/08/2017
