FICO
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/23/1996
1/22/1997
4/23/1997
7/23/1997
10/29/1997
1/22/1998
4/23/1998
7/23/1998
10/29/1998
1/21/1999
4/22/1999
7/22/1999
10/28/1999
1/20/2000
4/25/2000
7/20/2000
10/30/2000
1/25/2001
4/26/2001
7/26/2001
10/25/2001
1/29/2002
4/23/2002
7/18/2002
10/30/2002
1/22/2003
4/23/2003
7/23/2003
11/3/2003
1/26/2004
4/29/2004
7/28/2004
11/10/2004
1/26/2005
4/27/2005
7/27/2005
11/2/2005
1/25/2006
4/26/2006
7/26/2006
11/1/2006
1/24/2007
4/25/2007
7/25/2007
10/30/2007
1/22/2008
4/28/2008
7/23/2008
11/5/2008
1/28/2009
4/22/2009
7/22/2009
11/4/2009
1/27/2010
4/28/2010
7/28/2010
11/3/2010
1/26/2011
5/4/2011
8/3/2011
11/2/2011
1/26/2012
4/25/2012
7/25/2012
11/1/2012
1/30/2013
4/24/2013
7/30/2013
10/30/2013
1/22/2014
4/24/2014
7/24/2014
11/6/2014
1/29/2015
4/23/2015
7/29/2015
11/5/2015
1/28/2016
05/04/2016
07/28/2016
11/07/2016
01/31/2017
05/03/2017
