AZPN
LATEST_ANNOUNCEMENT_DT
4/30/1996
8/13/1996
10/24/1996
1/28/1997
4/29/1997
8/13/1997
10/28/1997
1/27/1998
4/28/1998
8/11/1998
10/28/1998
1/26/1999
4/27/1999
8/5/1999
10/26/1999
1/25/2000
4/24/2000
8/8/2000
10/24/2000
1/24/2001
4/24/2001
8/7/2001
10/25/2001
1/23/2002
4/25/2002
8/15/2002
10/24/2002
1/30/2003
4/29/2003
8/7/2003
10/29/2003
1/22/2004
4/29/2004
8/4/2004
3/15/2005
2/21/2005
5/5/2005
9/13/2005
11/8/2005
2/7/2006
5/9/2006
9/28/2006
11/7/2006
3/15/2007
5/9/2007
4/11/2008
4/11/2008
2/19/2009
2/19/2009
6/30/2009
11/9/2009
11/9/2009
11/9/2009
11/9/2009
12/21/2009
2/9/2010
5/6/2010
9/2/2010
11/2/2010
2/8/2011
5/3/2011
8/23/2011
11/1/2011
1/31/2012
5/1/2012
8/21/2012
11/1/2012
1/29/2013
4/30/2013
8/15/2013
10/29/2013
1/30/2014
4/29/2014
8/13/2014
10/28/2014
1/28/2015
4/28/2015
8/13/2015
10/29/2015
1/28/2016
