FRT
LATEST_ANNOUNCEMENT_DT
5/10/1995
8/14/1995
11/13/1995
2/13/1996
5/14/1996
8/12/1996
11/6/1996
2/12/1997
5/7/1997
7/30/1997
10/29/1997
2/11/1998
5/11/1998
8/5/1998
10/29/1998
2/10/1999
4/28/1999
7/29/1999
11/3/1999
2/14/2000
5/4/2000
7/26/2000
11/3/2000
2/15/2001
5/8/2001
7/30/2001
11/1/2001
2/12/2002
4/29/2002
8/12/2002
10/30/2002
2/12/2003
5/7/2003
7/30/2003
11/3/2003
2/17/2004
5/5/2004
7/28/2004
11/3/2004
2/16/2005
5/4/2005
7/28/2005
10/31/2005
2/21/2006
5/3/2006
8/2/2006
11/6/2006
2/13/2007
5/2/2007
8/1/2007
10/31/2007
2/12/2008
5/7/2008
7/30/2008
10/29/2008
2/18/2009
5/6/2009
8/4/2009
11/4/2009
2/17/2010
5/4/2010
8/4/2010
11/3/2010
2/15/2011
5/5/2011
8/3/2011
11/3/2011
2/15/2012
5/7/2012
8/1/2012
11/1/2012
2/12/2013
5/1/2013
8/1/2013
10/31/2013
2/11/2014
5/8/2014
8/7/2014
10/30/2014
2/10/2015
5/7/2015
8/5/2015
11/04/2015
02/09/2016
05/04/2016
08/04/2016
11/02/2016
02/13/2017
05/03/2017
