POS
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/15/1996
10/15/1996
1/15/1997
4/24/1997
7/17/1997
10/15/1997
1/15/1998
4/23/1998
7/16/1998
10/15/1998
1/14/1999
4/22/1999
7/15/1999
10/14/1999
1/13/2000
4/20/2000
7/17/2000
10/16/2000
1/11/2001
4/19/2001
7/18/2001
10/18/2001
1/17/2002
4/18/2002
7/18/2002
10/18/2002
1/16/2003
5/8/2003
7/15/2004
7/15/2004
7/15/2004
7/15/2004
8/16/2004
11/4/2004
1/26/2005
5/18/2005
7/28/2005
10/26/2005
1/31/2006
5/4/2006
2/14/2007
4/24/2007
8/2/2007
