PNM
LATEST_ANNOUNCEMENT_DT
2/2/1993
4/24/1992
7/21/1992
10/23/1992
2/3/1993
4/26/1993
7/26/1993
10/26/1993
1/27/1994
4/25/1994
7/21/1994
10/26/1994
1/26/1995
4/27/1995
7/27/1995
10/24/1995
1/26/1996
4/25/1996
7/22/1996
10/18/1996
1/28/1997
4/21/1997
7/17/1997
10/30/1997
1/27/1998
4/17/1998
7/16/1998
10/16/1998
1/27/1999
4/21/1999
7/21/1999
10/22/1999
1/27/2000
4/19/2000
7/18/2000
10/18/2000
1/24/2001
4/18/2001
7/17/2001
10/24/2001
1/23/2002
4/23/2002
7/22/2002
10/29/2002
2/11/2003
4/29/2003
7/29/2003
10/30/2003
2/10/2004
4/26/2004
7/26/2004
11/4/2004
2/22/2005
4/26/2005
7/26/2005
10/26/2005
1/30/2006
5/2/2006
8/2/2006
11/2/2006
2/13/2007
5/7/2007
8/2/2007
11/1/2007
2/11/2008
5/6/2008
8/11/2008
11/5/2008
2/6/2009
5/1/2009
7/31/2009
10/29/2009
2/23/2010
5/7/2010
8/6/2010
10/29/2010
3/1/2011
5/6/2011
8/5/2011
11/3/2011
2/29/2012
5/4/2012
8/3/2012
11/2/2012
3/1/2013
5/6/2013
8/2/2013
11/1/2013
2/28/2014
5/2/2014
8/1/2014
10/31/2014
2/27/2015
5/1/2015
7/31/2015
10/30/2015
02/26/2016
04/29/2016
08/08/2016
10/28/2016
02/28/2017
04/28/2017
