CHIC
LATEST_ANNOUNCEMENT_DT
11/16/1999
1/11/2000
4/13/2000
7/13/2000
11/9/2000
1/18/2001
5/11/2001
7/19/2001
10/24/2002
1/17/2002
4/18/2002
7/18/2002
10/24/2002
1/23/2003
4/17/2003
7/17/2003
10/23/2003
1/22/2004
4/15/2004
7/15/2004
10/20/2004
1/21/2005
4/21/2005
7/21/2005
11/4/2005
1/19/2006
4/20/2006
7/20/2006
11/9/2006
1/25/2007
4/26/2007
7/25/2007
11/14/2007
1/23/2008
4/23/2008
7/23/2008
11/12/2008
1/21/2009
4/16/2009
7/21/2009
