RGLD
LATEST_ANNOUNCEMENT_DT
3/1/1993
5/10/1993
10/5/1993
11/22/1993
2/15/1994
5/16/1994
10/3/1994
11/15/1994
2/17/1995
5/12/1995
10/3/1995
11/17/1995
2/15/1996
5/16/1996
8/27/1996
11/14/1996
2/18/1997
5/12/1997
8/27/1997
11/13/1997
2/9/1998
5/15/1998
8/21/1998
11/11/1998
2/16/1999
5/12/1999
8/20/1999
11/3/1999
2/8/2000
5/4/2000
8/10/2000
11/9/2000
2/8/2001
5/10/2001
8/9/2001
11/8/2001
2/15/2002
5/9/2002
8/15/2002
11/7/2002
2/13/2003
5/8/2003
8/12/2003
11/6/2003
2/5/2004
5/6/2004
8/12/2004
11/4/2004
2/9/2005
5/5/2005
8/18/2005
11/3/2005
2/2/2006
5/4/2006
8/17/2006
11/2/2006
2/1/2007
5/4/2007
8/16/2007
11/1/2007
1/31/2008
5/1/2008
8/14/2008
11/4/2008
2/5/2009
5/7/2009
8/13/2009
11/5/2009
2/4/2010
5/6/2010
8/12/2010
11/4/2010
2/3/2011
5/5/2011
8/11/2011
11/3/2011
2/2/2012
5/3/2012
8/9/2012
11/1/2012
1/31/2013
5/2/2013
8/8/2013
11/7/2013
1/30/2014
5/1/2014
8/6/2014
10/29/2014
1/28/2015
4/29/2015
8/5/2015
11/05/2015
02/04/2016
04/28/2016
08/11/2016
11/02/2016
02/02/2017
04/26/2017
