TAYC
LATEST_ANNOUNCEMENT_DT
12/31/1997
12/31/1998
12/31/1999
3/31/2000
6/30/2000
9/30/2000
12/31/2000
3/31/2001
6/30/2001
9/30/2001
12/31/2001
11/19/2002
2/3/2003
4/23/2003
7/22/2003
10/28/2003
1/27/2004
4/21/2004
7/20/2004
10/19/2004
1/25/2005
4/19/2005
7/19/2005
10/18/2005
1/24/2006
4/18/2006
7/18/2006
10/17/2006
1/25/2007
4/25/2007
7/25/2007
10/24/2007
1/30/2008
4/30/2008
7/29/2008
11/4/2008
1/29/2009
4/30/2009
7/30/2009
10/28/2009
1/27/2010
4/28/2010
7/29/2010
10/21/2010
1/28/2011
4/28/2011
7/21/2011
10/20/2011
1/24/2012
4/19/2012
7/18/2012
10/17/2012
1/24/2013
4/19/2013
7/15/2013
10/17/2013
1/22/2014
4/29/2014
7/17/2014
