BOOL
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/24/1996
11/12/1996
1/29/1997
4/24/1997
7/24/1997
11/17/1997
1/20/1998
4/23/1998
7/21/1998
11/5/1998
1/20/1999
