SJI
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/29/1996
10/22/1996
1/28/1997
5/13/1997
8/14/1997
11/13/1997
1/27/1998
4/23/1998
7/20/1998
10/23/1998
1/22/1999
4/12/1999
7/14/1999
10/20/1999
1/24/2000
4/17/2000
7/18/2000
10/19/2000
1/30/2001
4/17/2001
7/25/2001
10/24/2001
1/30/2002
4/16/2002
7/30/2002
10/25/2002
1/28/2003
4/16/2003
7/29/2003
10/28/2003
1/29/2004
4/27/2004
7/29/2004
11/2/2004
2/1/2005
4/20/2005
8/4/2005
11/8/2005
2/27/2006
5/5/2006
8/8/2006
11/8/2006
2/28/2007
5/8/2007
8/8/2007
11/8/2007
2/28/2008
5/9/2008
8/7/2008
11/6/2008
2/26/2009
5/11/2009
8/6/2009
11/5/2009
2/24/2010
5/6/2010
8/5/2010
11/8/2010
2/28/2011
5/9/2011
8/8/2011
11/8/2011
2/28/2012
5/4/2012
8/7/2012
11/8/2012
2/28/2013
5/3/2013
8/8/2013
11/12/2013
2/28/2014
5/9/2014
8/6/2014
11/7/2014
2/27/2015
5/8/2015
8/7/2015
11/5/2015
2/29/2016
05/06/2016
08/05/2016
11/04/2016
02/24/2017
05/04/2017
