LDG
LATEST_ANNOUNCEMENT_DT
5/21/1996
8/20/1996
2/25/1997
5/20/1997
8/19/1997
11/19/1997
2/24/1998
5/19/1998
8/18/1998
11/17/1998
2/23/1999
5/18/1999
8/17/1999
11/16/1999
2/22/2000
5/11/2000
8/15/2000
11/14/2000
2/28/2001
5/14/2001
8/22/2001
11/14/2001
2/27/2002
5/20/2002
8/21/2002
11/20/2002
2/26/2003
5/19/2003
8/20/2003
11/19/2003
3/3/2004
5/19/2004
8/18/2004
11/17/2004
3/2/2005
5/18/2005
8/17/2005
11/16/2005
3/1/2006
5/17/2006
8/16/2006
11/15/2006
2/28/2007
5/16/2007
8/15/2007
11/14/2007
3/5/2008
5/21/2008
8/20/2008
