URS
LATEST_ANNOUNCEMENT_DT
6/11/1996
8/27/1996
12/18/1996
2/28/1997
6/3/1997
8/26/1997
12/19/1997
3/9/1998
6/9/1998
9/8/1998
12/18/1998
3/11/1999
5/24/1999
9/8/1999
12/16/1999
3/13/2000
6/14/2000
9/7/2000
12/20/2000
3/5/2001
6/7/2001
9/6/2001
12/19/2001
3/7/2002
6/6/2002
9/5/2002
12/19/2002
3/13/2003
6/12/2003
9/15/2003
1/22/2004
3/15/2004
6/14/2004
9/9/2004
1/13/2005
5/10/2005
8/10/2005
11/8/2005
3/15/2006
5/9/2006
8/9/2006
11/8/2006
2/27/2007
5/2/2007
8/8/2007
11/7/2007
2/27/2008
5/7/2008
8/6/2008
11/6/2008
3/3/2009
5/13/2009
8/12/2009
11/12/2009
3/2/2010
5/12/2010
8/10/2010
11/9/2010
2/28/2011
5/10/2011
8/9/2011
11/8/2011
2/27/2012
5/8/2012
8/7/2012
11/6/2012
2/25/2013
5/7/2013
8/6/2013
11/5/2013
3/3/2014
5/13/2014
8/12/2014
