DINE
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/25/1996
12/23/1996
2/5/1997
4/25/1997
7/17/1997
11/14/1997
1/23/1998
4/24/1998
7/27/1998
12/15/1998
2/12/1999
5/4/1999
8/2/1999
12/7/1999
2/1/2000
5/3/2000
8/3/2000
11/21/2000
1/30/2001
4/26/2001
7/31/2001
2/12/2002
4/30/2002
7/23/2002
10/22/2002
2/11/2003
4/17/2003
7/22/2003
10/22/2003
1/29/2004
4/21/2004
7/22/2004
10/21/2004
2/16/2005
4/26/2005
7/25/2005
10/24/2005
2/8/2006
4/27/2006
7/20/2006
10/25/2006
2/5/2007
4/24/2007
8/7/2007
11/7/2007
3/12/2008
4/30/2008
7/23/2008
10/22/2008
2/19/2009
4/22/2009
7/29/2009
10/28/2009
3/11/2010
4/28/2010
7/21/2010
10/28/2010
