GPN
LATEST_ANNOUNCEMENT_DT
8/31/2000
1/3/2001
3/21/2001
7/18/2001
9/20/2001
12/19/2001
3/19/2002
7/17/2002
9/18/2002
12/18/2002
3/19/2003
7/17/2003
9/17/2003
12/18/2003
3/17/2004
7/21/2004
9/22/2004
12/22/2004
3/21/2005
7/20/2005
9/22/2005
12/22/2005
3/31/2006
7/28/2006
9/29/2006
1/5/2007
3/30/2007
7/26/2007
9/27/2007
1/3/2008
3/27/2008
7/24/2008
10/2/2008
1/6/2009
4/2/2009
7/23/2009
10/1/2009
1/7/2010
3/31/2010
7/27/2010
10/11/2010
1/6/2011
3/31/2011
7/21/2011
10/4/2011
1/5/2012
4/2/2012
7/26/2012
9/27/2012
1/8/2013
4/2/2013
7/25/2013
10/1/2013
1/8/2014
4/3/2014
7/29/2014
10/2/2014
1/8/2015
4/8/2015
7/28/2015
10/7/2015
1/11/2016
4/6/2016
07/28/2016
10/05/2016
01/09/2017
04/05/2017
