HI
LATEST_ANNOUNCEMENT_DT
3/14/2008
5/14/2008
8/12/2008
11/25/2008
2/6/2009
5/11/2009
8/12/2009
11/24/2009
2/4/2010
5/6/2010
8/4/2010
11/23/2010
2/2/2011
5/4/2011
8/8/2011
11/28/2011
2/1/2012
5/7/2012
8/1/2012
11/26/2012
2/4/2013
5/2/2013
8/5/2013
11/25/2013
2/4/2014
5/5/2014
8/6/2014
11/19/2014
2/4/2015
5/11/2015
8/5/2015
11/18/2015
2/2/2016
05/03/2016
08/03/2016
11/16/2016
02/01/2017
05/02/2017
