BRS
LATEST_ANNOUNCEMENT_DT
5/8/1996
8/26/1996
11/7/1996
2/6/1997
6/5/1997
8/13/1997
11/10/1997
2/9/1998
5/27/1998
8/3/1998
10/26/1998
2/8/1999
5/26/1999
8/9/1999
11/10/1999
2/9/2000
6/2/2000
8/8/2000
11/8/2000
2/5/2001
6/4/2001
8/7/2001
11/7/2001
2/12/2002
5/21/2002
8/8/2002
11/4/2002
2/10/2003
6/2/2003
8/6/2003
11/5/2003
2/10/2004
6/7/2004
8/4/2004
11/3/2004
2/3/2005
6/8/2005
1/12/2006
1/12/2006
2/9/2006
6/8/2006
8/8/2006
11/7/2006
2/5/2007
5/22/2007
8/2/2007
11/5/2007
2/5/2008
5/21/2008
8/6/2008
11/6/2008
2/4/2009
5/21/2009
8/6/2009
11/4/2009
2/3/2010
5/19/2010
8/4/2010
11/4/2010
2/2/2011
5/10/2011
8/8/2011
11/7/2011
2/2/2012
5/23/2012
8/6/2012
11/7/2012
2/4/2013
5/22/2013
8/5/2013
11/7/2013
2/6/2014
5/21/2014
8/4/2014
11/6/2014
2/5/2015
5/20/2015
8/6/2015
11/5/2015
2/8/2016
05/25/2016
08/04/2016
11/03/2016
02/02/2017
05/24/2017
