FEIC
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/23/1996
4/18/1997
8/6/1997
10/28/1997
2/11/1998
4/27/1998
7/29/1998
10/28/1998
2/1/1999
4/22/1999
7/28/1999
10/26/1999
2/2/2000
4/26/2000
7/25/2000
10/24/2000
1/29/2001
4/23/2001
7/23/2001
10/23/2001
1/28/2002
4/22/2002
7/29/2002
10/28/2002
1/28/2003
4/28/2003
7/29/2003
10/22/2003
2/4/2004
4/28/2004
7/28/2004
10/27/2004
2/2/2005
4/27/2005
8/3/2005
10/25/2005
2/7/2006
5/3/2006
8/2/2006
11/1/2006
2/6/2007
4/30/2007
7/31/2007
10/30/2007
2/4/2008
4/29/2008
7/29/2008
10/28/2008
2/5/2009
5/5/2009
8/5/2009
11/3/2009
2/3/2010
5/4/2010
8/5/2010
11/2/2010
2/3/2011
5/3/2011
8/2/2011
10/27/2011
2/8/2012
5/1/2012
8/2/2012
10/30/2012
2/6/2013
4/30/2013
8/1/2013
10/29/2013
2/5/2014
4/29/2014
7/30/2014
10/28/2014
2/4/2015
4/28/2015
7/30/2015
10/27/2015
2/2/2016
05/04/2016
08/04/2016
10/25/2016
