SSP
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/11/1996
10/10/1996
1/22/1997
4/10/1997
7/14/1997
10/9/1997
1/22/1998
4/9/1998
7/10/1998
10/9/1998
1/22/1999
4/12/1999
7/12/1999
11/9/1999
1/24/2000
4/11/2000
7/12/2000
10/10/2000
1/23/2001
4/11/2001
7/12/2001
10/10/2001
1/23/2002
4/10/2002
7/11/2002
10/10/2002
1/23/2003
4/10/2003
7/14/2003
10/14/2003
1/22/2004
4/14/2004
7/15/2004
10/14/2004
1/25/2005
4/14/2005
7/19/2005
10/14/2005
2/2/2006
4/25/2006
7/24/2006
10/17/2006
1/30/2007
4/25/2007
7/24/2007
10/25/2007
1/31/2008
4/24/2008
7/24/2008
11/7/2008
3/2/2009
5/4/2009
8/10/2009
11/5/2009
2/23/2010
5/10/2010
8/9/2010
11/2/2010
2/24/2011
5/10/2011
8/9/2011
11/8/2011
2/24/2012
5/8/2012
8/7/2012
11/9/2012
2/26/2013
5/6/2013
8/5/2013
11/8/2013
3/4/2014
5/9/2014
8/8/2014
11/7/2014
3/4/2015
5/8/2015
8/7/2015
11/6/2015
2/26/2016
05/06/2016
08/05/2016
11/04/2016
02/24/2017
05/05/2017
