SUP
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/18/1996
10/10/1996
2/12/1997
4/15/1997
7/17/1997
10/16/1997
2/12/1998
4/14/1998
7/16/1998
10/15/1998
2/3/1999
4/14/1999
7/15/1999
10/15/1999
2/10/2000
4/11/2000
7/13/2000
10/17/2000
1/31/2001
4/19/2001
7/18/2001
10/16/2001
2/7/2002
4/18/2002
7/18/2002
10/17/2002
2/6/2003
4/11/2003
7/17/2003
10/17/2003
2/6/2004
4/16/2004
7/16/2004
10/22/2004
2/18/2005
4/22/2005
7/27/2005
10/27/2005
3/16/2006
5/4/2006
8/3/2006
11/1/2006
3/20/2007
5/10/2007
8/9/2007
11/2/2007
3/14/2008
5/9/2008
8/7/2008
11/7/2008
2/26/2009
5/8/2009
8/7/2009
11/6/2009
2/26/2010
5/7/2010
8/13/2010
11/5/2010
3/16/2011
5/6/2011
8/5/2011
10/28/2011
3/5/2012
4/27/2012
8/3/2012
11/1/2012
3/1/2013
5/3/2013
8/2/2013
11/1/2013
3/7/2014
5/2/2014
7/31/2014
11/3/2014
3/10/2015
5/5/2015
8/5/2015
11/3/2015
3/7/2016
04/27/2016
07/27/2016
10/27/2016
03/02/2017
04/26/2017
