SCHL
LATEST_ANNOUNCEMENT_DT
3/21/1996
7/18/1996
9/17/1996
12/10/1996
3/12/1997
7/16/1997
9/16/1997
12/11/1997
3/18/1998
7/15/1998
9/16/1998
12/10/1998
3/18/1999
7/20/1999
9/15/1999
12/15/1999
3/16/2000
7/18/2000
9/19/2000
12/14/2000
3/13/2001
7/18/2001
9/20/2001
12/18/2001
3/14/2002
7/18/2002
9/24/2002
12/19/2002
3/18/2003
7/15/2003
9/23/2003
12/17/2003
3/16/2004
7/21/2004
9/21/2004
12/15/2004
3/17/2005
7/21/2005
9/22/2005
12/16/2005
3/23/2006
7/20/2006
9/21/2006
12/19/2006
3/22/2007
7/19/2007
9/20/2007
12/20/2007
3/27/2008
7/24/2008
9/25/2008
12/18/2008
3/26/2009
7/23/2009
9/24/2009
12/17/2009
4/1/2010
7/22/2010
9/23/2010
12/16/2010
3/24/2011
7/21/2011
9/22/2011
12/15/2011
3/15/2012
7/19/2012
9/20/2012
12/20/2012
3/21/2013
7/18/2013
9/19/2013
12/19/2013
3/20/2014
7/24/2014
9/25/2014
12/18/2014
3/26/2015
7/23/2015
9/24/2015
12/17/2015
3/24/2016
07/21/2016
09/22/2016
12/15/2016
03/23/2017
