IBOC
LATEST_ANNOUNCEMENT_DT
12/31/1992
12/31/1993
12/31/1994
8/14/1998
11/2/1998
2/19/1999
5/12/1999
8/6/1999
11/5/1999
2/23/2000
5/9/2000
8/4/2000
11/2/2000
2/21/2001
5/10/2001
8/7/2001
10/25/2001
2/25/2002
5/9/2002
8/6/2002
11/7/2002
2/25/2003
5/7/2003
8/8/2003
11/7/2003
2/26/2004
4/30/2004
8/5/2004
11/8/2004
3/7/2005
4/28/2005
7/28/2005
10/27/2005
3/3/2006
5/3/2006
8/1/2006
11/6/2006
2/22/2007
5/7/2007
8/3/2007
11/1/2007
2/25/2008
5/5/2008
8/1/2008
10/23/2008
2/13/2009
4/29/2009
8/4/2009
11/2/2009
3/1/2010
5/6/2010
8/5/2010
11/1/2010
2/28/2011
5/6/2011
8/8/2011
11/7/2011
2/27/2012
5/7/2012
8/6/2012
11/5/2012
2/25/2013
5/9/2013
8/5/2013
11/6/2013
2/24/2014
5/5/2014
8/11/2014
11/10/2014
2/27/2015
5/8/2015
8/7/2015
11/06/2015
2/26/2016
5/9/2016
8/5/2016

