CRS
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/26/1996
10/17/1996
1/21/1997
4/18/1997
7/25/1997
10/17/1997
1/20/1998
4/22/1998
7/27/1998
10/21/1998
1/21/1999
4/21/1999
7/27/1999
10/20/1999
1/20/2000
4/19/2000
7/27/2000
10/19/2000
1/19/2001
4/19/2001
7/26/2001
10/18/2001
1/22/2002
4/19/2002
7/25/2002
10/28/2002
1/21/2003
4/22/2003
7/24/2003
10/27/2003
1/23/2004
4/23/2004
7/23/2004
10/25/2004
1/21/2005
4/25/2005
7/25/2005
10/24/2005
1/23/2006
4/24/2006
7/26/2006
10/26/2006
1/26/2007
4/27/2007
7/27/2007
10/31/2007
1/29/2008
4/29/2008
7/31/2008
10/28/2008
1/27/2009
4/28/2009
7/30/2009
10/27/2009
1/26/2010
4/27/2010
7/29/2010
10/26/2010
1/25/2011
4/26/2011
7/28/2011
10/25/2011
1/26/2012
4/25/2012
7/31/2012
10/23/2012
1/31/2013
4/25/2013
7/30/2013
10/29/2013
1/30/2014
4/24/2014
7/29/2014
10/23/2014
1/28/2015
4/30/2015
7/30/2015
10/22/2015
2/4/2016
04/26/2016
07/28/2016
10/27/2016
02/02/2017
04/25/2017
