VPHM
LATEST_ANNOUNCEMENT_DT
4/30/1997
8/7/1997
10/31/1997
2/28/1998
4/30/1998
7/31/1998
10/28/1998
3/5/1999
5/6/1999
7/30/1999
11/2/1999
2/23/2000
4/27/2000
7/27/2000
10/26/2000
2/14/2001
4/26/2001
7/26/2001
10/29/2001
2/14/2002
5/1/2002
8/12/2002
10/29/2002
2/25/2003
5/12/2003
8/14/2003
11/6/2003
2/25/2004
5/4/2004
8/5/2004
11/5/2004
3/10/2005
5/3/2005
8/2/2005
11/7/2005
2/28/2006
5/4/2006
8/2/2006
11/2/2006
2/28/2007
5/2/2007
8/1/2007
10/30/2007
2/27/2008
4/30/2008
7/30/2008
10/29/2008
2/24/2009
4/29/2009
7/29/2009
10/28/2009
2/24/2010
4/28/2010
7/28/2010
10/27/2010
2/24/2011
4/28/2011
7/28/2011
10/27/2011
2/28/2012
5/1/2012
8/9/2012
10/25/2012
2/27/2013
5/1/2013
8/1/2013
10/31/2013
