THQIQ
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/23/1996
10/22/1996
2/4/1997
4/24/1997
7/23/1997
10/22/1997
2/24/1998
4/21/1998
7/23/1998
10/22/1998
2/25/1999
4/22/1999
7/22/1999
10/26/1999
2/23/2000
4/25/2000
7/20/2000
10/24/2000
2/22/2001
4/24/2001
7/19/2001
10/18/2001
2/13/2002
4/16/2002
7/16/2002
10/21/2002
2/3/2003
5/7/2003
7/24/2003
10/20/2003
2/5/2004
5/5/2004
7/29/2004
10/27/2004
2/1/2005
5/4/2005
8/3/2005
10/27/2005
2/3/2006
5/5/2006
7/27/2006
11/3/2006
2/2/2007
5/10/2007
8/1/2007
11/1/2007
2/5/2008
5/6/2008
7/30/2008
11/5/2008
2/4/2009
5/6/2009
7/28/2009
11/4/2009
2/3/2010
5/5/2010
8/9/2010
11/3/2010
2/2/2011
5/3/2011
7/27/2011
11/2/2011
2/2/2012
5/15/2012
8/6/2012
11/5/2012
