NTRI
LATEST_ANNOUNCEMENT_DT
3/30/2000
3/30/2000
3/30/2000
3/30/2000
5/12/2000
7/31/2000
11/16/2000
3/30/2001
5/1/2001
7/31/2001
11/2/2001
2/25/2002
4/25/2002
8/6/2002
11/7/2002
2/26/2003
5/5/2003
7/23/2003
10/29/2003
2/25/2004
4/28/2004
7/28/2004
10/27/2004
2/23/2005
4/25/2005
7/27/2005
10/27/2005
2/21/2006
4/24/2006
7/24/2006
10/24/2006
2/14/2007
4/25/2007
7/24/2007
10/24/2007
2/19/2008
4/23/2008
7/23/2008
10/22/2008
2/18/2009
4/29/2009
7/29/2009
10/27/2009
3/1/2010
5/3/2010
7/29/2010
11/1/2010
2/24/2011
4/27/2011
7/28/2011
11/2/2011
3/5/2012
5/1/2012
7/26/2012
11/9/2012
3/5/2013
5/1/2013
7/29/2013
10/28/2013
2/26/2014
5/1/2014
7/29/2014
11/3/2014
3/2/2015
4/30/2015
7/29/2015
10/28/2015
2/25/2016
05/03/2016
07/27/2016
10/26/2016
02/27/2017
05/02/2017
