FLMIQ
LATEST_ANNOUNCEMENT_DT
5/1/1996
7/31/1996
2/20/1997
4/30/1997
7/30/1997
10/22/1997
2/19/1998
5/1/1998
7/30/1998
10/21/1998
2/18/1999
5/5/1999
7/29/1999
10/20/1999
2/18/2000
5/3/2000
7/26/2000
10/18/2000
2/14/2001
5/9/2001
8/1/2001
10/24/2001
2/13/2002
5/7/2002
7/30/2002
10/23/2002
1/23/2003
