DNEX
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/22/1996
10/15/1996
1/14/1997
4/17/1997
7/23/1997
10/15/1997
1/14/1998
4/15/1998
7/22/1998
10/15/1998
1/15/1999
4/15/1999
7/22/1999
10/14/1999
1/19/2000
4/18/2000
7/24/2000
10/17/2000
1/22/2001
4/23/2001
7/30/2001
10/22/2001
1/22/2002
4/22/2002
7/30/2002
10/21/2002
1/22/2003
4/21/2003
7/30/2003
10/20/2003
1/21/2004
4/20/2004
7/28/2004
10/20/2004
1/20/2005
4/21/2005
8/4/2005
11/1/2005
1/31/2006
5/2/2006
8/3/2006
10/31/2006
1/31/2007
5/2/2007
8/9/2007
10/31/2007
1/31/2008
4/30/2008
8/7/2008
10/29/2008
1/29/2009
4/29/2009
8/6/2009
10/29/2009
2/9/2010
5/6/2010
8/12/2010
11/4/2010
2/7/2011
5/5/2011
