MEAS
LATEST_ANNOUNCEMENT_DT
6/21/1996
8/14/1996
11/14/1996
2/14/1997
6/30/1997
8/11/1997
11/5/1997
2/2/1998
6/23/1998
7/31/1998
10/28/1998
1/26/1999
5/18/1999
7/27/1999
10/26/1999
1/26/2000
5/25/2000
7/25/2000
10/24/2000
1/24/2001
6/4/2001
7/30/2001
11/9/2001
5/31/2002
10/28/2002
8/15/2002
11/14/2002
2/12/2003
5/28/2003
8/7/2003
11/4/2003
2/4/2004
5/26/2004
8/4/2004
11/8/2004
2/8/2005
6/13/2005
8/9/2005
11/9/2005
2/9/2006
6/19/2006
8/9/2006
11/8/2006
2/7/2007
6/12/2007
8/8/2007
11/7/2007
2/6/2008
6/12/2008
8/6/2008
11/5/2008
2/4/2009
6/10/2009
8/5/2009
11/4/2009
2/3/2010
6/9/2010
8/4/2010
11/3/2010
2/2/2011
6/7/2011
8/3/2011
11/2/2011
2/1/2012
6/6/2012
8/1/2012
11/7/2012
2/5/2013
6/5/2013
8/7/2013
11/6/2013
2/5/2014
6/3/2014
8/6/2014
