GHCI
LATEST_ANNOUNCEMENT_DT
2/10/2004
5/3/2004
7/28/2004
11/22/2004
2/1/2005
5/3/2005
8/1/2005
12/1/2005
1/31/2006
4/27/2006
8/2/2006
11/20/2006
2/8/2007
4/27/2007
