NTY
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/23/1996
11/7/1996
1/23/1997
4/22/1997
7/23/1997
10/23/1997
1/23/1998
4/23/1998
7/28/1998
11/24/1998
1/28/1999
4/27/1999
8/5/1999
11/15/1999
1/27/2000
4/27/2000
7/25/2000
11/15/2000
1/31/2001
4/26/2001
7/26/2001
11/7/2001
1/23/2002
4/22/2002
7/22/2002
11/6/2002
1/22/2003
4/23/2003
7/22/2003
11/10/2003
1/22/2004
4/22/2004
7/22/2004
12/14/2004
1/21/2005
4/26/2005
7/29/2005
12/14/2005
1/27/2006
4/27/2006
7/27/2006
11/13/2006
1/25/2007
4/26/2007
7/26/2007
11/5/2007
1/28/2008
4/24/2008
7/25/2008
11/11/2008
1/28/2009
4/23/2009
7/27/2009
11/9/2009
1/28/2010
4/27/2010
7/28/2010
1/3/2011
2/14/2011
5/16/2011
8/10/2011
11/23/2011
2/8/2012
5/9/2012
8/7/2012
11/27/2012
2/1/2013
5/13/2013
8/8/2013
11/26/2013
2/6/2014
5/13/2014
8/14/2014
11/24/2014
2/10/2015
5/7/2015
8/5/2015
11/17/2015
2/10/2016
