COGT
LATEST_ANNOUNCEMENT_DT
5/14/2004
9/8/2004
11/1/2004
2/22/2005
4/25/2005
7/27/2005
10/26/2005
2/28/2006
4/27/2006
8/2/2006
11/2/2006
2/26/2007
5/1/2007
8/1/2007
11/1/2007
2/26/2008
5/27/2008
8/7/2008
11/5/2008
2/25/2009
5/5/2009
8/4/2009
11/3/2009
2/25/2010
5/5/2010
8/5/2010
11/8/2010
