SHLM
LATEST_ANNOUNCEMENT_DT
4/12/1996
7/11/1996
10/21/1996
1/9/1997
4/10/1997
7/10/1997
10/20/1997
1/9/1998
4/14/1998
7/9/1998
10/20/1998
1/12/1999
4/13/1999
7/9/1999
10/20/1999
1/13/2000
4/12/2000
7/11/2000
10/20/2000
1/11/2001
4/12/2001
7/12/2001
10/19/2001
1/10/2002
4/11/2002
7/11/2002
10/18/2002
1/9/2003
4/10/2003
7/10/2003
10/17/2003
1/8/2004
4/8/2004
7/8/2004
10/19/2004
1/5/2005
4/6/2005
7/6/2005
10/18/2005
1/5/2006
4/5/2006
7/7/2006
10/18/2006
1/4/2007
4/5/2007
6/29/2007
10/31/2007
1/4/2008
4/4/2008
7/2/2008
10/21/2008
1/9/2009
4/2/2009
7/2/2009
10/19/2009
1/6/2010
3/31/2010
7/8/2010
10/25/2010
1/5/2011
4/4/2011
7/6/2011
10/26/2011
1/5/2012
4/4/2012
7/9/2012
10/24/2012
1/3/2013
4/8/2013
7/1/2013
10/24/2013
1/6/2014
4/7/2014
7/1/2014
10/22/2014
1/6/2015
4/6/2015
7/6/2015
10/20/2015
1/11/2016
4/5/2016
07/04/2016
10/26/2016
01/09/2017
04/04/2017
