MBFI
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/29/1996
10/28/1996
2/6/1997
4/28/1997
7/25/1997
10/22/1997
1/29/1998
7/27/1998
10/26/1998
1/27/1999
5/3/1999
7/30/1999
10/15/1999
1/20/2000
4/19/2000
7/21/2000
10/26/2000
3/21/2001
4/23/2001
7/25/2001
10/24/2001
2/6/2002
4/24/2002
7/22/2002
10/22/2002
1/23/2003
4/22/2003
7/29/2003
10/27/2003
1/30/2004
4/21/2004
7/26/2004
10/26/2004
1/25/2005
4/22/2005
7/21/2005
10/21/2005
1/24/2006
4/18/2006
7/19/2006
10/30/2006
1/23/2007
4/30/2007
7/23/2007
10/17/2007
1/25/2008
4/25/2008
7/25/2008
10/31/2008
1/30/2009
4/30/2009
7/16/2009
10/21/2009
1/22/2010
4/26/2010
7/22/2010
10/22/2010
1/27/2011
4/27/2011
7/21/2011
10/20/2011
1/26/2012
4/19/2012
7/17/2012
10/24/2012
1/29/2013
4/22/2013
7/15/2013
10/17/2013
1/15/2014
4/29/2014
7/23/2014
10/30/2014
1/29/2015
4/20/2015
7/16/2015
10/15/2015
1/22/2016
04/18/2016
07/20/2016
10/20/2016
01/26/2017
04/17/2017
