81814Q
LATEST_ANNOUNCEMENT_DT
4/30/1996
8/1/1996
10/24/1996
2/19/1997
4/24/1997
7/21/1997
10/21/1997
2/11/1998
4/22/1998
7/22/1998
10/20/1998
2/9/1999
4/21/1999
7/21/1999
10/19/1999
2/8/2000
4/20/2000
7/20/2000
10/18/2000
2/13/2001
4/24/2001
7/24/2001
10/24/2001
2/11/2002
5/8/2002
