GVA
LATEST_ANNOUNCEMENT_DT
2/18/1993
5/5/1993
8/4/1993
11/3/1993
2/24/1994
5/5/1994
8/4/1994
11/3/1994
2/16/1995
5/4/1995
8/3/1995
11/2/1995
2/22/1996
5/2/1996
8/8/1996
11/6/1996
2/20/1997
5/8/1997
8/6/1997
11/5/1997
2/18/1998
5/6/1998
8/5/1998
11/4/1998
2/17/1999
5/5/1999
8/4/1999
11/3/1999
2/16/2000
5/3/2000
8/2/2000
11/1/2000
2/21/2001
5/9/2001
8/8/2001
11/6/2001
2/20/2002
5/8/2002
8/7/2002
11/6/2002
2/19/2003
5/7/2003
8/6/2003
11/5/2003
2/18/2004
5/5/2004
8/4/2004
11/3/2004
2/16/2005
4/27/2005
7/27/2005
10/26/2005
2/15/2006
4/26/2006
7/26/2006
10/25/2006
2/14/2007
4/25/2007
7/25/2007
10/24/2007
2/13/2008
4/30/2008
7/30/2008
10/29/2008
2/25/2009
5/4/2009
7/29/2009
10/28/2009
2/24/2010
5/3/2010
8/2/2010
11/9/2010
2/23/2011
5/4/2011
8/3/2011
11/2/2011
2/23/2012
5/7/2012
8/3/2012
11/7/2012
2/28/2013
5/9/2013
8/1/2013
11/4/2013
2/27/2014
4/30/2014
8/1/2014
11/3/2014
2/27/2015
5/5/2015
7/30/2015
11/02/2015
02/25/2016
04/29/2016
07/29/2016
10/28/2016
02/17/2017
05/05/2017
