HAFC
LATEST_ANNOUNCEMENT_DT
5/1/2000
7/31/2000
11/1/2000
1/31/2001
4/20/2001
7/19/2001
10/16/2001
1/24/2002
4/15/2002
7/19/2002
10/11/2002
1/23/2003
4/18/2003
7/18/2003
10/23/2003
1/26/2004
4/22/2004
7/27/2004
10/21/2004
1/27/2005
4/22/2005
7/21/2005
10/27/2005
1/26/2006
4/25/2006
7/25/2006
10/24/2006
1/30/2007
5/3/2007
7/26/2007
11/6/2007
2/12/2008
4/29/2008
7/29/2008
10/23/2008
1/29/2009
4/28/2009
8/6/2009
11/5/2009
1/28/2010
4/29/2010
7/27/2010
10/28/2010
1/27/2011
4/21/2011
7/21/2011
10/20/2011
1/19/2012
4/19/2012
7/19/2012
10/18/2012
1/24/2013
4/25/2013
7/23/2013
10/22/2013
1/27/2014
4/22/2014
7/22/2014
11/7/2014
2/5/2015
4/23/2015
7/23/2015
10/27/2015
1/26/2016
04/19/2016
07/19/2016
10/18/2016
01/24/2017
04/18/2017
