GAPTQ
LATEST_ANNOUNCEMENT_DT
3/11/1996
7/1/1996
9/18/1996
12/16/1996
3/10/1997
7/1/1997
9/23/1997
12/16/1997
3/17/1998
7/7/1998
10/1/1998
12/22/1998
3/16/1999
7/7/1999
9/30/1999
12/21/1999
3/28/2000
7/10/2000
10/2/2000
1/4/2001
4/5/2001
7/17/2001
10/23/2001
1/7/2002
4/4/2002
7/29/2002
10/18/2002
1/10/2003
4/25/2003
7/25/2003
10/17/2003
1/9/2004
4/30/2004
7/23/2004
10/19/2004
1/7/2005
5/10/2005
7/22/2005
10/18/2005
1/6/2006
5/9/2006
7/20/2006
10/17/2006
1/9/2007
4/25/2007
7/20/2007
10/17/2007
1/8/2008
5/6/2008
7/18/2008
10/14/2008
1/8/2009
5/12/2009
7/23/2009
10/20/2009
1/12/2010
5/5/2010
7/23/2010
10/21/2010
1/13/2011
5/10/2011
8/1/2011
10/28/2011
1/17/2012
