CYH
LATEST_ANNOUNCEMENT_DT
12/31/1998
6/8/2000
7/31/2000
10/23/2000
2/21/2001
4/25/2001
7/25/2001
10/24/2001
2/20/2002
4/24/2002
7/24/2002
10/23/2002
2/26/2003
4/23/2003
7/23/2003
10/23/2003
2/25/2004
4/18/2004
7/21/2004
10/26/2004
2/24/2005
4/27/2005
7/28/2005
10/26/2005
2/22/2006
4/26/2006
7/26/2006
10/25/2006
2/15/2007
4/25/2007
7/30/2007
10/30/2007
2/21/2008
4/29/2008
7/28/2008
10/29/2008
2/19/2009
4/23/2009
7/30/2009
10/28/2009
2/17/2010
4/21/2010
7/28/2010
10/27/2010
2/24/2011
4/27/2011
7/28/2011
10/26/2011
2/21/2012
4/26/2012
7/25/2012
10/30/2012
2/21/2013
4/29/2013
7/29/2013
10/30/2013
2/18/2014
5/6/2014
7/31/2014
11/3/2014
2/19/2015
5/5/2015
8/3/2015
11/02/2015
02/17/2016
05/02/2016
08/02/2016
11/01/2016
02/20/2017
05/01/2017
