ACET
LATEST_ANNOUNCEMENT_DT
4/18/1996
8/15/1996
10/15/1996
1/17/1997
4/17/1997
8/15/1997
10/17/1997
1/21/1998
4/20/1998
8/14/1998
10/20/1998
1/21/1999
4/22/1999
8/18/1999
10/22/1999
1/26/2000
4/19/2000
8/16/2000
10/25/2000
1/25/2001
5/11/2001
9/20/2001
11/8/2001
2/1/2002
5/3/2002
9/5/2002
11/7/2002
2/11/2003
5/8/2003
9/5/2003
11/6/2003
2/11/2004
5/7/2004
9/10/2004
11/9/2004
2/3/2005
5/5/2005
9/9/2005
11/9/2005
2/9/2006
5/5/2006
9/8/2006
11/9/2006
2/8/2007
5/10/2007
9/7/2007
11/9/2007
2/8/2008
5/9/2008
9/5/2008
11/7/2008
2/6/2009
5/8/2009
9/11/2009
11/6/2009
2/5/2010
5/7/2010
9/10/2010
11/5/2010
2/4/2011
5/6/2011
9/9/2011
11/3/2011
2/9/2012
5/3/2012
9/6/2012
11/8/2012
2/7/2013
5/9/2013
8/28/2013
11/7/2013
2/6/2014
5/8/2014
9/4/2014
11/6/2014
2/5/2015
5/7/2015
9/10/2015
11/5/2015
2/4/2016
05/05/2016
08/25/2016
11/03/2016
02/02/2017
05/04/2017
