DECK
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/25/1996
10/24/1996
2/20/1997
4/28/1997
7/24/1997
10/16/1997
2/19/1998
4/23/1998
7/23/1998
10/22/1998
2/25/1999
4/22/1999
7/22/1999
10/21/1999
2/24/2000
4/27/2000
7/27/2000
10/26/2000
3/30/2001
4/26/2001
7/26/2001
10/25/2001
2/21/2002
4/25/2002
7/25/2002
10/24/2002
2/27/2003
4/24/2003
7/24/2003
10/22/2003
2/24/2005
4/15/2004
7/22/2004
10/21/2004
2/24/2005
4/21/2005
7/21/2005
10/27/2005
2/28/2006
4/27/2006
7/27/2006
10/26/2006
2/27/2007
4/26/2007
7/26/2007
10/25/2007
2/28/2008
4/24/2008
8/7/2008
10/23/2008
2/26/2009
4/23/2009
7/23/2009
10/22/2009
2/25/2010
4/22/2010
7/22/2010
10/28/2010
2/24/2011
4/28/2011
7/28/2011
10/27/2011
2/23/2012
4/26/2012
7/26/2012
10/25/2012
2/28/2013
4/25/2013
7/25/2013
10/24/2013
2/27/2014
4/24/2014
7/24/2014
10/23/2014
1/29/2015
5/28/2015
7/30/2015
10/29/2015
2/4/2016
05/26/2016
07/28/2016
10/27/2016
02/02/2017
05/25/2017
