LXU
LATEST_ANNOUNCEMENT_DT
4/29/1996
8/6/1996
11/15/1996
3/11/1997
5/19/1997
8/6/1997
11/6/1997
3/13/1998
5/12/1998
8/10/1998
11/16/1998
3/15/1999
5/17/1999
8/23/1999
11/18/1999
4/14/2000
6/6/2000
8/9/2000
11/21/2000
4/17/2001
5/22/2001
8/20/2001
11/13/2001
4/1/2002
5/16/2002
8/19/2002
11/19/2002
4/2/2003
5/13/2003
8/8/2003
11/10/2003
4/1/2004
5/14/2004
8/10/2004
11/17/2004
3/17/2005
5/5/2005
8/5/2005
11/21/2005
3/31/2006
5/8/2006
8/8/2006
11/7/2006
3/20/2007
5/7/2007
8/7/2007
11/5/2007
3/11/2008
5/6/2008
8/6/2008
11/6/2008
3/12/2009
5/11/2009
8/6/2009
11/5/2009
3/8/2010
5/6/2010
8/6/2010
11/4/2010
3/3/2011
5/5/2011
8/8/2011
11/7/2011
2/28/2012
5/9/2012
8/8/2012
11/6/2012
2/28/2013
5/6/2013
8/8/2013
11/5/2013
2/27/2014
5/7/2014
8/8/2014
11/7/2014
3/2/2015
5/8/2015
8/7/2015
11/6/2015
2/29/2016
05/04/2016
08/08/2016
11/03/2016
02/27/2017
05/03/2017
