CRZO
LATEST_ANNOUNCEMENT_DT
11/13/1997
3/6/1998
5/5/1998
8/14/1998
11/12/1998
3/30/1999
5/14/1999
8/13/1999
11/3/1999
3/16/2000
5/10/2000
8/11/2000
11/6/2000
3/14/2001
5/9/2001
8/9/2001
11/7/2001
3/20/2002
5/8/2002
8/5/2002
11/8/2002
3/18/2003
5/1/2003
8/14/2003
11/10/2003
3/25/2004
5/13/2004
8/16/2004
11/11/2004
3/16/2005
5/10/2005
8/5/2005
11/4/2005
3/20/2006
5/10/2006
8/10/2006
11/9/2006
3/20/2007
5/9/2007
8/8/2007
11/8/2007
2/28/2008
5/8/2008
8/7/2008
11/6/2008
3/3/2009
5/11/2009
8/10/2009
11/9/2009
3/10/2010
5/6/2010
8/5/2010
11/9/2010
3/15/2011
5/10/2011
8/9/2011
11/8/2011
2/28/2012
5/8/2012
8/7/2012
11/6/2012
2/26/2013
5/7/2013
8/7/2013
11/4/2013
2/25/2014
5/6/2014
8/5/2014
11/6/2014
2/24/2015
5/6/2015
8/6/2015
11/4/2015
2/22/2016
05/04/2016
08/04/2016
11/03/2016
02/23/2017
05/03/2017
