ANSS
LATEST_ANNOUNCEMENT_DT
7/17/1996
10/21/1996
2/12/1997
4/21/1997
7/21/1997
10/21/1997
2/3/1998
4/21/1998
7/16/1998
10/20/1998
2/3/1999
4/22/1999
7/20/1999
10/19/1999
2/8/2000
4/19/2000
7/18/2000
10/25/2000
2/6/2001
4/18/2001
7/19/2001
10/25/2001
2/5/2002
4/24/2002
7/23/2002
10/24/2002
2/4/2003
4/30/2003
7/31/2003
11/5/2003
2/12/2004
5/4/2004
7/29/2004
11/4/2004
3/10/2005
5/3/2005
8/3/2005
11/3/2005
2/16/2006
4/27/2006
8/3/2006
11/2/2006
2/20/2007
5/3/2007
8/2/2007
11/1/2007
2/21/2008
5/1/2008
8/7/2008
11/6/2008
2/26/2009
5/7/2009
8/6/2009
11/5/2009
2/25/2010
5/6/2010
8/5/2010
11/4/2010
2/24/2011
5/5/2011
8/4/2011
11/3/2011
2/23/2012
5/3/2012
8/2/2012
11/1/2012
2/28/2013
5/2/2013
8/1/2013
11/7/2013
2/27/2014
5/1/2014
8/5/2014
11/5/2014
2/26/2015
5/6/2015
8/5/2015
11/5/2015
2/25/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
