0231874D
LATEST_ANNOUNCEMENT_DT
5/22/1996
8/21/1996
11/20/1996
3/12/1997
5/28/1997
8/27/1997
11/25/1997
2/4/1998
5/27/1998
8/26/1998
11/24/1998
3/3/1999
6/3/1999
8/25/1999
11/23/1999
3/1/2000
5/24/2000
8/23/2000
12/12/2000
3/7/2001
5/30/2001
8/29/2001
11/28/2001
3/6/2002
6/7/2002
8/28/2002
11/26/2002
3/12/2003
5/29/2003
8/27/2003
11/25/2003
3/3/2004
5/26/2004
8/25/2004
11/23/2004
3/2/2005
5/25/2005
8/24/2005
11/22/2005
3/8/2006
5/24/2006
8/23/2006
12/7/2006
3/7/2007
5/31/2007
8/29/2007
11/29/2007
4/4/2008
5/29/2008
8/26/2008
12/2/2008
3/10/2009
6/4/2009
8/25/2009
12/1/2009
3/25/2010
5/27/2010
8/26/2010
11/18/2010
3/24/2011
5/26/2011
8/25/2011
11/17/2011
3/15/2012
5/24/2012
