SIE
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/31/1996
10/30/1996
2/12/1997
5/6/1997
7/31/1997
11/5/1997
2/12/1998
5/5/1998
7/29/1998
11/3/1998
2/8/1999
5/5/1999
8/10/1999
11/10/1999
2/14/2000
5/9/2000
8/7/2000
11/6/2000
2/13/2001
5/2/2001
8/6/2001
10/24/2001
1/30/2002
4/29/2002
7/22/2002
10/21/2002
1/29/2003
4/22/2003
7/23/2003
10/22/2003
1/28/2004
4/26/2004
7/21/2004
10/20/2004
1/31/2005
4/25/2005
7/25/2005
10/24/2005
1/31/2006
4/26/2006
7/25/2006
10/24/2006
1/30/2007
4/24/2007
7/30/2007
11/5/2007
3/17/2008
