NYT
LATEST_ANNOUNCEMENT_DT
4/8/1992
2/8/1993
10/24/1992
2/8/1993
4/13/1993
7/21/1993
10/22/1993
2/10/1994
4/19/1994
7/26/1994
10/19/1994
2/9/1995
4/18/1995
7/20/1995
10/18/1995
2/8/1996
4/16/1996
7/18/1996
10/18/1996
2/5/1997
4/17/1997
7/17/1997
10/16/1997
2/4/1998
4/16/1998
7/16/1998
10/14/1998
2/3/1999
4/14/1999
7/15/1999
11/10/1999
2/3/2000
4/13/2000
7/10/2000
10/12/2000
1/31/2001
4/16/2001
7/18/2001
10/17/2001
1/30/2002
4/15/2002
7/16/2002
10/17/2002
1/28/2003
4/14/2003
7/15/2003
10/16/2003
1/27/2004
4/12/2004
7/14/2004
10/13/2004
1/25/2005
4/14/2005
7/21/2005
10/19/2005
1/24/2006
4/13/2006
7/18/2006
10/19/2006
1/31/2007
4/19/2007
7/25/2007
10/23/2007
1/31/2008
4/17/2008
7/23/2008
10/23/2008
1/28/2009
4/21/2009
7/23/2009
10/22/2009
2/10/2010
4/22/2010
7/22/2010
10/19/2010
2/3/2011
4/21/2011
7/21/2011
10/20/2011
2/2/2012
4/19/2012
7/26/2012
10/25/2012
2/7/2013
4/25/2013
8/1/2013
10/31/2013
2/6/2014
4/24/2014
7/29/2014
10/30/2014
2/3/2015
4/30/2015
8/6/2015
10/29/2015
02/04/2016
05/03/2016
07/28/2016
11/02/2016
02/02/2017
05/02/2017
