STR
LATEST_ANNOUNCEMENT_DT
4/20/1992
7/27/1992
10/27/1992
2/10/1993
4/28/1993
7/26/1993
10/26/1993
2/8/1994
4/28/1994
7/27/1994
10/27/1994
2/13/1995
4/26/1995
7/26/1995
10/25/1995
2/12/1996
4/29/1996
7/29/1996
10/28/1996
2/11/1997
4/28/1997
7/28/1997
10/29/1997
2/10/1998
4/29/1998
7/29/1998
10/26/1998
2/9/1999
4/27/1999
7/28/1999
10/25/1999
2/8/2000
4/27/2000
7/27/2000
10/25/2000
2/13/2001
4/27/2001
7/30/2001
10/31/2001
2/12/2002
5/1/2002
7/31/2002
10/30/2002
2/12/2003
4/30/2003
7/30/2003
10/29/2003
2/10/2004
4/29/2004
7/28/2004
10/26/2004
2/9/2005
4/27/2005
7/27/2005
10/27/2005
2/14/2006
4/26/2006
7/26/2006
10/26/2006
2/13/2007
4/25/2007
7/25/2007
10/24/2007
2/12/2008
4/28/2008
7/28/2008
10/29/2008
2/11/2009
4/29/2009
7/28/2009
10/28/2009
2/17/2010
4/27/2010
7/27/2010
10/26/2010
2/22/2011
4/26/2011
7/27/2011
10/25/2011
2/14/2012
4/24/2012
7/25/2012
10/30/2012
2/20/2013
4/30/2013
7/31/2013
10/30/2013
2/19/2014
4/29/2014
7/30/2014
10/29/2014
2/18/2015
4/29/2015
8/5/2015
11/04/2015
02/17/2016
04/27/2016
08/03/2016
11/02/2016
