SPOK
LATEST_ANNOUNCEMENT_DT
5/15/2002
8/14/2002
11/13/2002
3/11/2003
5/8/2003
8/7/2003
11/11/2003
3/1/2004
5/6/2004
8/3/2004
10/28/2004
3/16/2005
5/10/2005
8/9/2005
11/9/2005
5/24/2006
5/25/2006
8/8/2006
11/8/2006
3/7/2007
5/16/2007
8/1/2007
10/31/2007
3/5/2008
5/6/2008
7/31/2008
10/29/2008
3/3/2009
4/29/2009
7/29/2009
10/28/2009
2/24/2010
5/5/2010
7/28/2010
10/27/2010
2/23/2011
5/4/2011
7/27/2011
10/26/2011
2/22/2012
5/3/2012
7/30/2012
11/1/2012
3/28/2013
5/9/2013
8/1/2013
11/5/2013
3/10/2014
4/30/2014
7/30/2014
10/29/2014
3/4/2015
4/29/2015
7/28/2015
10/28/2015
2/24/2016
