ALGT
LATEST_ANNOUNCEMENT_DT
1/30/2007
5/1/2007
8/6/2007
10/29/2007
1/30/2008
4/28/2008
7/23/2008
10/22/2008
1/26/2009
4/19/2009
7/21/2009
10/19/2009
1/25/2010
4/19/2010
7/21/2010
10/27/2010
1/31/2011
4/28/2011
8/1/2011
10/26/2011
2/1/2012
4/25/2012
8/1/2012
10/24/2012
1/30/2013
4/24/2013
7/23/2013
10/23/2013
1/29/2014
4/23/2014
7/23/2014
10/22/2014
1/28/2015
4/22/2015
7/29/2015
10/21/2015
1/27/2016
04/27/2016
07/29/2016
10/26/2016
01/31/2017
04/26/2017
