HNR
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/8/1996
11/13/1996
3/20/1997
5/13/1997
8/12/1997
11/12/1997
3/24/1998
5/12/1998
8/12/1998
11/11/1998
3/24/1999
5/12/1999
8/11/1999
11/10/1999
3/22/2000
5/10/2000
8/10/2000
11/10/2000
4/2/2001
5/7/2001
8/8/2001
11/12/2001
3/6/2002
5/9/2002
8/7/2002
11/5/2002
2/27/2003
5/7/2003
8/7/2003
11/6/2003
3/4/2004
5/6/2004
8/5/2004
11/4/2004
2/22/2005
4/28/2005
8/1/2005
10/27/2005
2/27/2006
4/20/2006
8/9/2006
10/26/2006
3/13/2007
5/3/2007
7/25/2007
11/1/2007
3/17/2008
5/1/2008
8/7/2008
11/4/2008
3/5/2009
5/8/2009
8/4/2009
11/5/2009
3/16/2010
5/7/2010
8/9/2010
11/9/2010
3/16/2011
5/10/2011
8/9/2011
11/9/2011
3/15/2012
5/10/2012
8/9/2012
11/9/2012
5/2/2013
6/5/2013
8/9/2013
11/12/2013
3/17/2014
5/12/2014
8/11/2014
11/6/2014
3/27/2015
5/18/2015
8/7/2015
11/9/2015
3/29/2016
