SHAW
LATEST_ANNOUNCEMENT_DT
4/9/1996
7/1/1996
10/31/1996
1/9/1997
4/14/1997
7/8/1997
10/21/1997
1/7/1998
4/7/1998
7/8/1998
10/27/1998
1/12/1999
4/6/1999
7/8/1999
10/7/1999
1/14/2000
4/3/2000
7/6/2000
10/19/2000
1/11/2001
4/11/2001
7/10/2001
10/9/2001
1/14/2002
4/15/2002
7/11/2002
10/14/2002
1/13/2003
4/14/2003
7/11/2003
10/16/2003
1/14/2004
4/14/2004
7/15/2004
10/14/2004
1/7/2005
4/4/2005
7/8/2005
10/21/2005
1/6/2006
4/10/2006
7/10/2006
10/31/2006
1/16/2007
8/31/2007
10/10/2007
12/6/2007
1/9/2008
4/9/2008
7/9/2008
10/30/2008
1/8/2009
4/8/2009
7/9/2009
10/29/2009
1/6/2010
4/7/2010
7/12/2010
10/28/2010
1/6/2011
4/11/2011
6/28/2011
10/31/2011
12/21/2011
3/29/2012
7/10/2012
10/19/2012
12/21/2012
