IMPHQ
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/29/1996
10/29/1996
2/18/1997
4/24/1997
7/24/1997
10/23/1997
2/10/1998
4/23/1998
7/29/1998
10/26/1998
2/18/1999
4/22/1999
7/27/1999
10/26/1999
2/24/2000
4/17/2000
7/24/2000
10/24/2000
2/21/2001
4/25/2001
7/24/2001
10/25/2001
2/14/2002
4/18/2002
7/17/2002
10/21/2002
2/26/2003
4/28/2003
