HPY
LATEST_ANNOUNCEMENT_DT
8/2/2005
8/15/2005
11/3/2005
2/16/2006
5/4/2006
8/3/2006
11/3/2006
2/15/2007
5/4/2007
8/2/2007
11/1/2007
2/13/2008
5/1/2008
8/5/2008
11/4/2008
2/24/2009
5/7/2009
8/4/2009
11/3/2009
2/18/2010
5/6/2010
8/4/2010
11/3/2010
2/16/2011
5/4/2011
7/28/2011
10/27/2011
2/9/2012
5/1/2012
7/31/2012
11/1/2012
2/7/2013
4/30/2013
7/31/2013
10/30/2013
2/5/2014
4/30/2014
8/1/2014
10/31/2014
2/13/2015
5/1/2015
7/31/2015
10/30/2015
2/2/2016
05/06/2016
