SCRX
LATEST_ANNOUNCEMENT_DT
5/4/2000
8/2/2000
11/2/2000
3/7/2001
5/8/2001
8/8/2001
11/8/2001
3/4/2002
5/6/2002
8/5/2002
11/6/2002
2/27/2003
5/14/2003
8/12/2003
11/6/2003
2/26/2004
4/26/2004
7/29/2004
10/28/2004
3/2/2005
4/28/2005
7/27/2005
10/26/2005
2/23/2006
4/26/2006
7/26/2006
10/26/2006
2/22/2007
4/26/2007
7/25/2007
10/30/2007
2/26/2008
4/30/2008
7/30/2008
