HAKI
LATEST_ANNOUNCEMENT_DT
10/24/1997
1/26/1998
4/21/1998
7/21/1998
10/16/1998
1/27/1999
4/20/1999
7/27/1999
10/26/1999
1/25/2000
4/25/2000
7/25/2000
10/24/2000
2/5/2001
5/1/2001
7/31/2001
10/30/2001
2/5/2002
4/30/2002
7/30/2002
10/29/2002
2/4/2003
4/29/2003
7/29/2003
10/29/2003
3/11/2004
5/12/2004
