CBT
LATEST_ANNOUNCEMENT_DT
1/29/1993
4/30/1993
7/29/1993
11/1/1993
1/27/1994
4/29/1994
7/28/1994
11/1/1994
1/27/1995
4/26/1995
7/26/1995
10/30/1995
1/24/1996
4/23/1996
7/23/1996
10/25/1996
1/23/1997
4/23/1997
7/23/1997
10/23/1997
1/23/1998
4/21/1998
7/23/1998
10/26/1998
1/27/1999
4/28/1999
7/28/1999
10/25/1999
1/24/2000
4/26/2000
7/26/2000
10/25/2000
1/25/2001
4/25/2001
7/25/2001
10/24/2001
1/24/2002
4/24/2002
7/24/2002
10/24/2002
1/23/2003
4/23/2003
7/23/2003
10/22/2003
1/22/2004
4/27/2004
7/26/2004
10/27/2004
1/26/2005
4/27/2005
7/27/2005
11/3/2005
2/2/2006
5/4/2006
8/2/2006
12/14/2006
1/24/2007
4/26/2007
7/25/2007
10/31/2007
1/23/2008
4/30/2008
7/23/2008
10/29/2008
1/28/2009
4/29/2009
7/29/2009
10/28/2009
1/27/2010
4/28/2010
7/28/2010
10/26/2010
1/25/2011
4/26/2011
7/26/2011
10/25/2011
2/1/2012
5/1/2012
7/31/2012
10/30/2012
1/30/2013
4/30/2013
7/31/2013
10/29/2013
1/29/2014
4/30/2014
7/30/2014
10/28/2014
1/28/2015
4/29/2015
8/4/2015
11/02/2015
02/01/2016
05/02/2016
07/27/2016
10/31/2016
02/01/2017
05/01/2017
