MDS
LATEST_ANNOUNCEMENT_DT
4/15/1998
7/15/1998
10/14/1998
2/11/1999
4/15/1999
7/15/1999
10/14/1999
2/17/2000
4/20/2000
7/20/2000
10/19/2000
2/15/2001
4/19/2001
7/19/2001
10/18/2001
2/21/2002
4/25/2002
7/31/2002
11/1/2002
3/19/2003
4/30/2003
8/11/2003
10/30/2003
2/26/2004
5/6/2004
8/5/2004
11/12/2004
3/3/2005
5/5/2005
8/4/2005
10/27/2005
3/2/2006
5/4/2006
8/3/2006
10/26/2006
3/1/2007
5/3/2007
8/2/2007
10/25/2007
2/7/2008
5/1/2008
7/31/2008
10/30/2008
3/5/2009
5/7/2009
8/6/2009
10/29/2009
3/4/2010
5/6/2010
8/5/2010
10/28/2010
3/3/2011
5/4/2011
8/3/2011
10/27/2011
3/1/2012
