USAD
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/18/1996
11/3/1997
2/7/1997
5/8/1997
11/3/1997
3/10/1998
4/30/1998
8/5/1998
11/4/1998
3/9/1999
5/3/1999
8/3/1999
11/8/1999
3/7/2000
5/4/2000
8/2/2000
11/1/2000
12/31/2000
3/31/2001
