ACDO
LATEST_ANNOUNCEMENT_DT
9/30/1998
12/31/1998
5/3/1999
8/19/1999
11/1/1999
1/31/2000
5/1/2000
8/16/2000
10/30/2000
1/29/2001
4/30/2001
8/16/2001
10/29/2001
2/4/2002
4/29/2002
8/26/2002
11/4/2002
2/3/2003
5/5/2003
9/4/2003
11/3/2003
2/2/2004
5/3/2004
8/30/2004
11/1/2004
1/31/2005
5/2/2005
